""
"Test Method","Tensile_R_yu.msm"
"Sample I. D.","10-1-304TD1 Hyunjin.mss"
"Specimen Number","9"

"Extension (mm)","Extensometer_A (mm/mm)","Extensometer_T (mm)","Load (kN)"
10.59346,0.21187,0.88099,5.937
10.62476,0.21250,0.88339,5.955
10.65636,0.21313,0.88574,5.951
10.68798,0.21376,0.88810,5.954
10.71987,0.21440,0.89043,5.952
10.75106,0.21502,0.89288,5.944
10.78297,0.21566,0.89526,5.939
10.81411,0.21628,0.89777,5.948
10.84577,0.21692,0.90021,5.936
10.87691,0.21754,0.90262,5.938
10.90853,0.21817,0.90510,5.946
10.94027,0.21881,0.90757,5.944
10.97176,0.21944,0.90999,5.942
11.00279,0.22006,0.91243,5.942
11.03415,0.22068,0.91487,5.933
11.06473,0.22129,0.91725,5.934
11.09602,0.22192,0.91969,5.936
11.12653,0.22253,0.92217,5.935
11.15756,0.22315,0.92448,5.934
11.18814,0.22376,0.92690,5.938
11.21901,0.22438,0.92932,5.931
11.24983,0.22500,0.93164,5.932
11.28044,0.22561,0.93403,5.931
11.31111,0.22622,0.93633,5.927
11.34161,0.22683,0.93877,5.929
11.37203,0.22744,0.94116,5.931
11.40223,0.22804,0.94352,5.930
11.43243,0.22865,0.94592,5.934
11.46286,0.22926,0.94831,5.928
11.49324,0.22986,0.95070,5.932
11.52336,0.23047,0.95301,5.924
11.55343,0.23107,0.95538,5.927
11.58312,0.23166,0.95781,5.921
11.61290,0.23226,0.96018,5.924
11.64294,0.23286,0.96260,5.923
11.67264,0.23345,0.96500,5.922
11.70226,0.23405,0.96733,5.920
11.73204,0.23464,0.96972,5.921
11.76152,0.23523,0.97203,5.912
11.79040,0.23581,0.97443,5.911
11.81974,0.23639,0.97676,5.909
11.84800,0.23696,0.97917,5.916
11.87682,0.23754,0.98151,5.914
11.90513,0.23810,0.98382,5.914
11.93368,0.23867,0.98612,5.918
11.96157,0.23923,0.98842,5.909
11.99015,0.23980,0.99068,5.912
12.01830,0.24037,0.99297,5.916
12.04594,0.24092,0.99525,5.903
12.07362,0.24147,0.99746,5.897
12.10080,0.24202,0.99976,5.899
12.12773,0.24255,1.00197,5.907
12.15477,0.24310,1.00418,5.893
12.18175,0.24363,1.00648,5.897
12.20857,0.24417,1.00868,5.907
12.23528,0.24471,1.01089,5.894
12.26126,0.24523,1.01308,5.897
12.28707,0.24574,1.01520,5.893
12.31261,0.24625,1.01737,5.882
12.33814,0.24676,1.01952,5.886
12.36356,0.24727,1.02167,5.880
12.38841,0.24777,1.02382,5.901
12.41392,0.24828,1.02589,5.887
12.43881,0.24878,1.02804,5.891
12.46404,0.24928,1.03013,5.886
12.48913,0.24978,1.03226,5.881
12.51419,0.25028,1.03435,5.885
12.53945,0.25079,1.03643,5.884
12.56418,0.25128,1.03856,5.889
12.58892,0.25178,1.04069,5.882
12.61353,0.25227,1.04284,5.882
