""
"Test Method","Tensile_R_yu.msm"
"Sample I. D.","10-1-304TD1 Hyunjin.mss"
"Specimen Number","4"

"Extension (mm)","Extensometer_A (mm/mm)","Extensometer_T (mm)","Load (kN)"
10.19754,0.20395,1.38731,5.792
10.22047,0.20441,1.39007,5.787
10.24304,0.20486,1.39298,5.799
10.26590,0.20532,1.39571,5.797
10.28813,0.20576,1.39842,5.789
10.31043,0.20621,1.40118,5.787
10.33275,0.20666,1.40393,5.790
10.35519,0.20710,1.40663,5.785
10.37741,0.20755,1.40930,5.788
10.39947,0.20799,1.41202,5.793
10.42134,0.20843,1.41468,5.790
10.44293,0.20886,1.41725,5.778
10.46461,0.20929,1.41987,5.781
10.48612,0.20972,1.42252,5.780
10.50675,0.21013,1.42509,5.782
10.52807,0.21056,1.42762,5.775
10.54894,0.21098,1.43013,5.785
10.56939,0.21139,1.43270,5.783
10.59006,0.21180,1.43515,5.779
10.61066,0.21221,1.43759,5.783
10.63115,0.21262,1.44008,5.780
10.65138,0.21303,1.44244,5.783
10.67117,0.21342,1.44487,5.776
10.69090,0.21382,1.44733,5.776
10.71032,0.21421,1.44968,5.780
10.73012,0.21460,1.45200,5.771
10.74911,0.21498,1.45432,5.768
10.76779,0.21536,1.45663,5.776
10.78685,0.21574,1.45882,5.767
10.80596,0.21612,1.46109,5.766
10.82420,0.21648,1.46336,5.773
10.84281,0.21686,1.46564,5.779
10.86159,0.21723,1.46777,5.770
10.87996,0.21760,1.47002,5.765
10.89834,0.21797,1.47223,5.770
10.91657,0.21833,1.47443,5.768
10.93505,0.21870,1.47660,5.764
10.95283,0.21906,1.47873,5.757
10.97056,0.21941,1.48084,5.768
10.98847,0.21977,1.48295,5.762
11.00640,0.22013,1.48499,5.759
11.02329,0.22047,1.48713,5.760
11.04080,0.22082,1.48928,5.767
11.05833,0.22117,1.49131,5.751
11.07576,0.22152,1.49338,5.758
11.09265,0.22185,1.49541,5.764
11.10966,0.22219,1.49749,5.757
11.12657,0.22253,1.49945,5.752
11.14372,0.22287,1.50146,5.754
11.15996,0.22320,1.50340,5.753
11.17634,0.22353,1.50528,5.741
11.19284,0.22386,1.50716,5.750
11.20845,0.22417,1.50910,5.754
11.22450,0.22449,1.51093,5.751
11.24071,0.22481,1.51280,5.739
11.25671,0.22513,1.51468,5.756
11.27224,0.22544,1.51651,5.743
11.28772,0.22575,1.51825,5.740
11.30340,0.22607,1.52006,5.744
11.31884,0.22638,1.52192,5.755
11.33440,0.22669,1.52364,5.746
11.34948,0.22699,1.52535,5.732
11.36441,0.22729,1.52712,5.749
11.37941,0.22759,1.52883,5.745
11.39436,0.22789,1.53047,5.739
11.40950,0.22819,1.53215,5.745
11.42400,0.22848,1.53385,5.736
11.43897,0.22878,1.53550,5.742
11.45373,0.22907,1.53706,5.738
11.46743,0.22935,1.53870,5.740
11.48194,0.22964,1.54032,5.741
11.49654,0.22993,1.54186,5.736
11.51059,0.23021,1.54342,5.726
11.52476,0.23050,1.54505,5.738
11.53831,0.23077,1.54653,5.735
11.55225,0.23104,1.54807,5.728
11.56600,0.23132,1.54957,5.731
11.57972,0.23159,1.55108,5.739
11.59360,0.23187,1.55252,5.726
11.60678,0.23214,1.55399,5.725
11.62024,0.23240,1.55550,5.726
11.63333,0.23267,1.55685,5.722
11.64673,0.23293,1.55828,5.716
11.65967,0.23319,1.55976,5.732
11.67281,0.23346,1.56115,5.721
11.68566,0.23371,1.56258,5.727
11.69858,0.23397,1.56396,5.714
11.71107,0.23422,1.56536,5.715
11.72357,0.23447,1.56663,5.727
11.73620,0.23472,1.56801,5.714
11.74846,0.23497,1.56929,5.720
11.76096,0.23522,1.57062,5.718
11.77349,0.23547,1.57190,5.712
11.78581,0.23572,1.57316,5.709
11.79734,0.23595,1.57451,5.714
11.80981,0.23620,1.57582,5.709
11.82185,0.23644,1.57705,5.707
11.83396,0.23668,1.57836,5.705
11.84598,0.23692,1.57963,5.711
11.85798,0.23716,1.58083,5.701
11.86971,0.23739,1.58209,5.700
11.88153,0.23763,1.58332,5.709
11.89341,0.23787,1.58451,5.707
11.90520,0.23810,1.58565,5.700
11.91682,0.23834,1.58688,5.707
11.92836,0.23857,1.58806,5.701
11.93977,0.23880,1.58916,5.703
11.95133,0.23903,1.59028,5.700
11.96252,0.23925,1.59150,5.699
